,mean,std,std/mean,min,max
dissim,0.0047,0.0013,0.2651,0.0013,0.0155
el0,0.619,0.1794,0.2898,0.0161,0.9638
el1,0.2319,0.1615,0.6966,0.0013,0.9612
el2,0.1036,0.1358,1.3101,0.0003,0.9662
el3,0.0671,0.0868,1.2942,0.0002,0.921
el4,0.0641,0.0959,1.4954,0.0002,0.9283
el5,0.0413,0.0894,2.1624,0.0001,0.9039
el6,0.0543,0.1274,2.3447,0.0001,0.9641
el7,0.0557,0.1572,2.8223,0.0001,0.9664
el8,0.0437,0.132,3.0211,0.0001,0.9651
el9,0.0362,0.0961,2.6544,0.0001,0.927
el10,0.038,0.096,2.5241,0.0,0.9589
el11,0.0365,0.0996,2.7307,0.0,0.9182
el12,0.0432,0.1279,2.9623,0.0,0.9662
el13,0.0386,0.1055,2.7349,0.0,0.9538
el14,0.0481,0.1232,2.56,0.0,0.9605
el15,0.0485,0.1224,2.5228,0.0,0.9514
el16,0.0407,0.1103,2.7085,0.0,0.9184
el17,0.0412,0.1199,2.9128,0.0,0.9574
el18,0.038,0.1279,3.3636,0.0,0.9692
el19,0.0288,0.1032,3.5836,0.0,0.9451
el20,0.0188,0.0637,3.3833,0.0,0.9191
el21,0.0238,0.0725,3.0417,0.0,0.9632
el22,0.0113,0.0295,2.6212,0.0,0.455
el23,0.0048,0.0153,3.2135,0.0,0.2245
el24,0.0058,0.0189,3.2333,0.0,0.28
el25,0.007,0.023,3.2749,0.0,0.3152
el26,0.0081,0.0271,3.3455,0.0,0.605
el27,0.0089,0.0301,3.36,0.0,0.6585
el28,0.0098,0.0317,3.2523,0.0,0.4432
el29,0.0106,0.0348,3.2793,0.0,0.5136
el30,0.0111,0.0358,3.2255,0.0,0.4751
el31,0.0114,0.0378,3.3166,0.0,0.6052
max_el,0.6896,0.1181,0.1712,0.1747,0.9692
diff,0.0144,0.0261,1.8059,0.0,0.4542
diffplus,0.0069,0.014,2.0425,0.0,0.2541
diffminus,-0.0076,0.0129,-1.7005,-0.2097,0.0
std,0.0143,0.0091,0.6344,0.0028,0.0852
diff/std**0.7,0.2646,0.4372,1.652,0.0,14.097
diff/std**1,0.9124,1.5551,1.7045,0.0002,61.569
diff/std**1.3,2.758,4.7108,1.7081,0.0006,176.32
maxmiddle,11.7719,2.8092,0.2386,2.8438,19.469
stat0,0.1051,0.0627,0.5967,0.0004,0.4115
stat1,0.0409,0.0352,0.8601,0.0,0.4226
stat2,0.0172,0.0285,1.6565,0.0,0.4116
stat3,0.0098,0.0159,1.6216,0.0,0.2868
stat4,0.0094,0.0191,2.0276,0.0,0.4431
stat5,0.0062,0.0156,2.5314,0.0,0.3775
stat6,0.0071,0.0186,2.6121,0.0,0.4248
stat7,0.0073,0.023,3.1376,0.0,0.458
stat8,0.0057,0.0179,3.173,0.0,0.45
stat9,0.005,0.0138,2.7632,0.0,0.422
stat10,0.0049,0.0133,2.6837,0.0,0.3646
stat11,0.0045,0.0136,3.0032,0.0,0.3284
stat12,0.0048,0.0164,3.4115,0.0,0.4622
stat13,0.0044,0.0143,3.2503,0.0,0.4539
stat14,0.0055,0.0176,3.1915,0.0,0.4353
stat15,0.0058,0.0198,3.4407,0.0,0.4583
stat16,0.0048,0.0172,3.6054,0.0,0.441
stat17,0.0046,0.0173,3.7579,0.0,0.453
stat18,0.0045,0.019,4.2551,0.0,0.4598
stat19,0.0035,0.0152,4.376,0.0,0.447
stat20,0.0025,0.0109,4.3092,0.0,0.3684
stat21,0.0035,0.0151,4.3481,0.0,0.4537
stat22,0.0018,0.0066,3.7019,0.0,0.217
stat23,0.0007,0.0029,3.8218,0.0,0.0598
stat24,0.0009,0.0034,3.7758,0.0,0.0629
stat25,0.0011,0.0043,3.9281,0.0,0.0962
stat26,0.0012,0.0049,3.9897,0.0,0.1458
stat27,0.0014,0.0053,3.9045,0.0,0.1608
stat28,0.0016,0.006,3.8935,0.0,0.1145
stat29,0.0016,0.0063,3.8153,0.0,0.1299
stat30,0.0017,0.0068,3.9698,0.0,0.1956
stat31,0.0017,0.0068,3.9069,0.0,0.1616
stat32,0.0621,0.0297,0.4784,0.0001,0.1723
stat33,0.0635,0.0458,0.7206,0.0001,0.3462
stat34,0.0586,0.026,0.4435,0.0016,0.1582
stat35,0.0663,0.0261,0.3932,0.0086,0.224
stat36,0.1321,0.5115,3.8732,-0.7071,0.7071
stat37,0.1642,0.4997,3.0438,-0.7071,0.7071
stat38,0.1685,0.5017,2.9783,-0.7071,0.7071
stat39,0.1745,0.4982,2.8547,-0.7071,0.7071
stat40,0.1814,0.4954,2.7308,-0.7071,0.7071
stat41,0.1927,0.4959,2.5734,-0.7071,0.7071
stat42,0.2278,0.4931,2.165,-0.7071,0.7071
stat43,0.2288,0.4943,2.1606,-0.7071,0.7071
stat44,0.2226,0.496,2.2283,-0.7071,0.7071
stat45,0.2278,0.4911,2.1561,-0.7071,0.7071
stat46,0.2282,0.4914,2.1531,-0.7071,0.7071
stat47,0.2277,0.4937,2.1686,-0.7071,0.7071
stat48,0.2271,0.4953,2.1811,-0.7071,0.7071
stat49,0.2226,0.495,2.2243,-0.7071,0.7071
stat50,0.2346,0.492,2.0969,-0.7071,0.7071
stat51,0.2339,0.4952,2.117,-0.7071,0.7071
stat52,0.2313,0.4954,2.1422,-0.7071,0.7071
stat53,0.2201,0.4949,2.2484,-0.7071,0.7071
stat54,0.2136,0.4964,2.3244,-0.7071,0.7071
stat55,0.1807,0.5074,2.8084,-0.7071,0.7071
stat56,0.1757,0.5028,2.8616,-0.7071,0.7071
stat57,0.2262,0.5109,2.2585,-0.7071,0.7071
stat58,0.1732,0.5407,3.1223,-0.7071,0.7071
stat59,-0.0036,0.5398,-148.8778,-0.7071,0.7071
stat60,-0.0252,0.5439,-21.6015,-0.7071,0.7071
stat61,-0.0171,0.5471,-32.0416,-0.7071,0.7071
stat62,-0.0267,0.5477,-20.5054,-0.7071,0.7071
stat63,-0.0167,0.5481,-32.8998,-0.7071,0.7071
stat64,-0.0195,0.5456,-27.9097,-0.7071,0.7071
stat65,-0.0218,0.5442,-25.0132,-0.7071,0.7071
stat66,-0.0279,0.5458,-19.532,-0.7071,0.7071
stat67,-0.0254,0.5449,-21.4101,-0.7071,0.7071
stat68,3.9938,1.1492,0.2878,-0.3007,5.3881
stat69,3.8872,1.2014,0.3091,-0.0723,5.3881
stat70,4.0373,1.1226,0.2781,-0.4282,5.3881
stat71,5.0674,1.519,0.2998,0.3953,9.6067
stat72,16.7591,7.3277,0.4372,-1.6191,27.032
stat73,15.8796,7.9592,0.5012,-1.4994,27.032
stat74,17.0363,7.198,0.4225,-1.6191,27.032
stat75,29.6758,16.7722,0.5652,-1.0003,90.528
stat76,0.4926,0.345,0.7002,0.0579,2.0277
