,mean,std,min,max
dissim,0.0,1.0,-2.7601,8.5862
el0,-0.0,1.0,-3.3612,1.9228
el1,-0.0,1.0,-1.4275,4.5152
el2,0.0,1.0,-0.7608,6.3545
el3,0.0,1.0,-0.7706,9.8349
el4,0.0,1.0,-0.6668,9.0124
el5,-0.0,1.0,-0.4611,9.648
el6,0.0,1.0,-0.4258,7.1392
el7,0.0,1.0,-0.3539,5.7927
el8,-0.0,1.0,-0.3305,6.9806
el9,0.0,1.0,-0.3762,9.2696
el10,0.0,1.0,-0.3957,9.5892
el11,-0.0,1.0,-0.3658,8.8573
el12,-0.0,1.0,-0.3373,7.2188
el13,-0.0,1.0,-0.3655,8.6781
el14,0.0,1.0,-0.3904,7.4034
el15,-0.0,1.0,-0.3961,7.3787
el16,-0.0,1.0,-0.3689,7.9569
el17,0.0,1.0,-0.343,7.6413
el18,-0.0,1.0,-0.297,7.2779
el19,-0.0,1.0,-0.2789,8.882
el20,0.0,1.0,-0.2955,14.1275
el21,0.0,1.0,-0.3286,12.9555
el22,-0.0,1.0,-0.381,15.0205
el23,0.0,1.0,-0.3103,14.3289
el24,-0.0,1.0,-0.3083,14.5407
el25,0.0,1.0,-0.3046,13.392
el26,-0.0,1.0,-0.2981,22.025
el27,0.0,1.0,-0.2969,21.6144
el28,0.0,1.0,-0.3066,13.6538
el29,0.0,1.0,-0.304,14.4739
el30,-0.0,1.0,-0.3092,12.9558
el31,-0.0,1.0,-0.3007,15.7177
max_el,0.0,1.0,-4.362,2.3679
diff,-0.0,1.0,-0.5537,16.8567
diffplus,-0.0,1.0,-0.4896,17.5968
diffminus,-0.0,1.0,-15.7104,0.5881
std,-0.0,1.0,-1.2669,7.7985
diff/std**0.7,0.0,1.0,-0.6052,31.6395
diff/std**1,-0.0,1.0,-0.5866,39.0057
diff/std**1.3,-0.0,1.0,-0.5854,36.8448
maxmiddle,-0.0,1.0,-3.1783,2.7401
stat0,0.0,1.0,-1.6697,4.8877
stat1,-0.0,1.0,-1.1614,10.8509
stat2,-0.0,1.0,-0.6026,13.8211
stat3,-0.0,1.0,-0.6158,17.4488
stat4,-0.0,1.0,-0.4931,22.6841
stat5,0.0,1.0,-0.3947,23.8383
stat6,-0.0,1.0,-0.3828,22.4194
stat7,-0.0,1.0,-0.3187,19.5991
stat8,0.0,1.0,-0.3151,24.7632
stat9,-0.0,1.0,-0.3619,30.3194
stat10,-0.0,1.0,-0.3726,27.1057
stat11,0.0,1.0,-0.333,23.7685
stat12,-0.0,1.0,-0.2931,27.9451
stat13,0.0,1.0,-0.3076,31.5342
stat14,-0.0,1.0,-0.3133,24.4478
stat15,-0.0,1.0,-0.2906,22.8049
stat16,0.0,1.0,-0.2774,25.3246
stat17,0.0,1.0,-0.2661,25.907
stat18,0.0,1.0,-0.235,23.9231
stat19,-0.0,1.0,-0.2285,29.2723
stat20,-0.0,1.0,-0.2321,33.5054
stat21,-0.0,1.0,-0.23,29.7389
stat22,0.0,1.0,-0.2701,32.721
stat23,-0.0,1.0,-0.2616,20.6402
stat24,0.0,1.0,-0.2648,18.1949
stat25,-0.0,1.0,-0.2546,22.311
stat26,0.0,1.0,-0.2506,29.4832
stat27,0.0,1.0,-0.2561,29.8187
stat28,0.0,1.0,-0.2568,18.6974
stat29,0.0,1.0,-0.2621,20.373
stat30,0.0,1.0,-0.2519,28.6444
stat31,-0.0,1.0,-0.256,23.6614
stat32,0.0,1.0,-2.0858,3.7106
stat33,0.0,1.0,-1.3859,6.1768
stat34,0.0,1.0,-2.1947,3.8369
stat35,0.0,1.0,-2.2154,6.0501
stat36,-0.0,1.0,-1.6407,1.1243
stat37,0.0,1.0,-1.7435,1.0864
stat38,-0.0,1.0,-1.7452,1.0737
stat39,0.0,1.0,-1.7696,1.069
stat40,0.0,1.0,-1.7935,1.0611
stat41,0.0,1.0,-1.8147,1.0375
stat42,0.0,1.0,-1.8958,0.972
stat43,0.0,1.0,-1.8935,0.9678
stat44,-0.0,1.0,-1.8744,0.9769
stat45,0.0,1.0,-1.9036,0.976
stat46,0.0,1.0,-1.9035,0.9746
stat47,-0.0,1.0,-1.8933,0.9711
stat48,0.0,1.0,-1.8861,0.9691
stat49,-0.0,1.0,-1.878,0.9788
stat50,-0.0,1.0,-1.9143,0.9604
stat51,0.0,1.0,-1.9005,0.9557
stat52,0.0,1.0,-1.8941,0.9605
stat53,0.0,1.0,-1.8738,0.9842
stat54,-0.0,1.0,-1.8547,0.9943
stat55,0.0,1.0,-1.7497,1.0375
stat56,-0.0,1.0,-1.7557,1.0568
stat57,-0.0,1.0,-1.8269,0.9414
stat58,0.0,1.0,-1.6282,0.9876
stat59,0.0,1.0,-1.3033,1.3167
stat60,0.0,1.0,-1.2537,1.3463
stat61,0.0,1.0,-1.2613,1.3237
stat62,-0.0,1.0,-1.2423,1.3398
stat63,0.0,1.0,-1.2596,1.3204
stat64,0.0,1.0,-1.2602,1.3319
stat65,-0.0,1.0,-1.2594,1.3394
stat66,-0.0,1.0,-1.2443,1.3467
stat67,0.0,1.0,-1.2511,1.3445
stat68,-0.0,1.0,-3.7369,1.2132
stat69,-0.0,1.0,-3.2959,1.2493
stat70,0.0,1.0,-3.9778,1.2033
stat71,0.0,1.0,-3.0758,2.9883
stat72,0.0,1.0,-2.5081,1.402
stat73,0.0,1.0,-2.1836,1.4013
stat74,-0.0,1.0,-2.5919,1.3887
stat75,-0.0,1.0,-1.8291,3.6283
stat76,-0.0,1.0,-1.2603,4.45
