,mean,std,std/mean,min,max
dissim,0.0118,0.0029,0.2464,0.0021,0.0179
el0,0.2964,0.1418,0.4784,0.1017,0.8983
el1,0.3808,0.1215,0.319,0.0299,0.8727
el2,0.3348,0.1014,0.3029,0.0233,0.6923
el3,0.317,0.093,0.2933,0.0122,0.9225
el4,0.3298,0.1011,0.3065,0.0093,0.9462
el5,0.4008,0.0971,0.2421,0.009,0.8463
el6,0.4117,0.0933,0.2265,0.009,0.7506
el7,0.3911,0.0986,0.252,0.0068,0.9466
el8,0.3829,0.095,0.248,0.0063,0.6575
el9,0.3789,0.1022,0.2698,0.0034,0.6481
el10,0.3779,0.1025,0.2713,0.0047,0.8163
el11,0.3662,0.1025,0.28,0.0032,0.8898
el12,0.3684,0.1111,0.3016,0.0035,0.9817
el13,0.3576,0.0977,0.2732,0.0039,0.8806
el14,0.373,0.0996,0.267,0.003,0.9499
el15,0.386,0.1022,0.2648,0.0044,0.9522
el16,0.3631,0.1063,0.2929,0.005,0.8186
el17,0.3721,0.1178,0.3166,0.0053,0.9641
el18,0.3685,0.1165,0.3162,0.0066,0.9753
el19,0.355,0.1324,0.3731,0.0063,0.9574
el20,0.3248,0.1339,0.4121,0.0087,0.5817
el21,0.3304,0.0954,0.2888,0.0075,0.8584
el22,0.0157,0.0263,1.6675,0.0035,0.1862
el23,0.0101,0.0139,1.3771,0.0038,0.0874
el24,0.0103,0.0117,1.1387,0.0042,0.105
el25,0.0118,0.0142,1.2077,0.0049,0.1456
el26,0.0129,0.0145,1.1288,0.0057,0.1435
el27,0.0137,0.0148,1.0827,0.0064,0.159
el28,0.015,0.0173,1.15,0.0067,0.1949
el29,0.0156,0.0177,1.1325,0.0071,0.1826
el30,0.016,0.017,1.0578,0.0069,0.189
el31,0.0164,0.0187,1.138,0.0075,0.1987
max_el,0.5147,0.1113,0.2163,0.3232,0.9817
diff,0.0706,0.0951,1.3474,0.0,0.6122
diffplus,0.0352,0.0505,1.4336,0.0,0.3186
diffminus,-0.0354,0.0483,-1.3667,-0.3084,-0.0
