,mean,std,std/mean,min,max
dissim,0.0087,0.0035,0.402,0.001,0.0249
el0,0.199,0.1494,0.7511,0.0082,0.855
el1,0.2164,0.1046,0.4834,0.0109,0.8597
el2,0.1962,0.0947,0.4828,0.0039,0.7908
el3,0.1903,0.0943,0.4956,0.0068,0.8943
el4,0.1932,0.096,0.497,0.0046,0.9271
el5,0.1891,0.1243,0.6574,0.0024,0.8725
el6,0.2156,0.1321,0.6127,0.003,0.8986
el7,0.1861,0.1233,0.6627,0.0025,0.9171
el8,0.165,0.1206,0.7306,0.0016,0.8882
el9,0.1739,0.1144,0.6581,0.0023,0.852
el10,0.1727,0.1118,0.6475,0.002,0.8207
el11,0.1714,0.1122,0.6546,0.0021,0.9022
el12,0.1733,0.111,0.6407,0.0022,0.8879
el13,0.1673,0.1067,0.6378,0.0015,0.8484
el14,0.1898,0.1171,0.6169,0.0019,0.9468
el15,0.1851,0.1236,0.6676,0.0016,0.9138
el16,0.1642,0.1175,0.7159,0.0015,0.9396
el17,0.1615,0.1226,0.7588,0.0019,0.9066
el18,0.1466,0.1254,0.8554,0.0029,0.9093
el19,0.1236,0.1223,0.9894,0.0019,0.8856
el20,0.1055,0.1119,1.061,0.001,0.7667
el21,0.1506,0.1182,0.7849,0.0012,0.8631
el22,0.0075,0.0149,1.9773,0.0015,0.2472
el23,0.0076,0.0125,1.634,0.0018,0.1748
el24,0.009,0.0143,1.5936,0.0022,0.1387
el25,0.0104,0.0167,1.611,0.0025,0.1788
el26,0.0115,0.018,1.5603,0.0024,0.1849
el27,0.0125,0.0194,1.5458,0.0029,0.208
el28,0.0136,0.0211,1.5582,0.0033,0.2338
el29,0.0142,0.0222,1.565,0.0037,0.2764
el30,0.0148,0.0232,1.5636,0.0038,0.268
el31,0.015,0.0235,1.5691,0.0039,0.25
max_el,0.3514,0.1343,0.3823,0.0597,0.9468
diff,0.0536,0.0623,1.1631,0.0001,0.6414
diffplus,0.0261,0.0391,1.4982,0.0,0.3838
diffminus,-0.0275,0.0322,-1.1724,-0.2576,0.0
std,0.0411,0.0204,0.4954,0.0043,0.1437
diff/std**0.2,0.0981,0.1052,1.0724,0.0002,1.0375
diff/std**0.6,0.3382,0.3101,0.9168,0.0006,2.7168
diff/std**1,1.1963,0.9775,0.8171,0.0016,8.1363
diff/std**1.4,4.0824,3.2277,0.7906,0.0046,29.356
diff/std**2,16.9442,13.8781,0.819,0.0197,132.45
maxmiddle,11.6534,2.9246,0.251,3.0625,18.0
stat0,0.0784,0.0592,0.7553,0.0005,0.3439
stat1,0.08,0.0477,0.5956,0.0006,0.3818
stat2,0.0679,0.0429,0.6317,0.0003,0.2673
stat3,0.0669,0.0413,0.6175,0.0001,0.2968
stat4,0.0654,0.0411,0.6273,0.0001,0.3022
stat5,0.0571,0.0486,0.85,0.0001,0.2666
stat6,0.0645,0.051,0.7906,0.0001,0.3442
stat7,0.0571,0.0479,0.8383,0.0,0.3981
stat8,0.0502,0.0463,0.9235,0.0001,0.3528
stat9,0.052,0.0442,0.8496,0.0001,0.3427
stat10,0.0516,0.0433,0.8386,0.0001,0.3766
stat11,0.049,0.0414,0.8455,0.0001,0.3717
stat12,0.0479,0.0402,0.8393,0.0,0.3974
stat13,0.0459,0.0384,0.8372,0.0,0.4104
stat14,0.0523,0.0428,0.8184,0.0001,0.3897
