,mean,std,min,max
dissim,-0.0,1.0001,-2.1875,4.6726
el0,0.0,1.0001,-1.2764,4.3906
el1,0.0,1.0001,-1.9649,6.1491
el2,0.0,1.0001,-2.03,6.2773
el3,0.0,1.0001,-1.9459,7.463
el4,0.0,1.0001,-1.9641,7.6456
el5,-0.0,1.0001,-1.502,5.4983
el6,0.0,1.0001,-1.6091,5.1697
el7,0.0,1.0001,-1.489,5.9273
el8,-0.0,1.0001,-1.3553,5.9983
el9,0.0,1.0001,-1.4995,5.9275
el10,-0.0,1.0001,-1.5268,5.7962
el11,-0.0,1.0001,-1.5085,6.5155
el12,0.0,1.0001,-1.5408,6.4375
el13,0.0,1.0001,-1.5534,6.3814
el14,0.0,1.0001,-1.6052,6.4653
el15,-0.0,1.0001,-1.4852,5.8976
el16,0.0,1.0001,-1.3842,6.5968
el17,-0.0,1.0001,-1.3021,6.0796
el18,0.0,1.0001,-1.1461,6.0818
el19,-0.0,1.0001,-0.9956,6.2333
el20,-0.0,1.0001,-0.9333,5.9101
el21,0.0,1.0001,-1.2639,6.0301
el22,-0.0,1.0001,-0.4058,16.1014
el23,-0.0,1.0001,-0.4716,13.4068
el24,0.0,1.0001,-0.4739,9.045
el25,0.0,1.0001,-0.4687,10.1022
el26,0.0,1.0001,-0.5068,9.6315
el27,0.0,1.0001,-0.4959,10.0831
el28,-0.0,1.0001,-0.4877,10.4156
el29,-0.0,1.0001,-0.473,11.8176
el30,-0.0,1.0001,-0.4772,10.9302
el31,0.0,1.0001,-0.4718,9.9821
max_el,-0.0,1.0001,-2.1717,4.4334
diff,-0.0,1.0001,-0.858,9.4321
diffplus,0.0,1.0001,-0.6675,9.1466
diffminus,0.0,1.0001,-7.142,0.853
std,-0.0,1.0001,-1.8071,5.032
diff/std**0.2,0.0,1.0001,-0.9307,8.93
diff/std**0.6,0.0,1.0001,-1.089,7.6715
diff/std**1,-0.0,1.0001,-1.2222,7.0999
diff/std**1.4,0.0,1.0001,-1.2634,7.8306
diff/std**2,0.0,1.0001,-1.2196,8.3233
maxmiddle,0.0,1.0001,-2.9376,2.1702
stat0,-0.0,1.0001,-1.3164,4.4841
stat1,-0.0,1.0001,-1.6659,6.3308
stat2,-0.0,1.0001,-1.5768,4.6515
stat3,0.0,1.0001,-1.6161,5.5667
stat4,0.0,1.0001,-1.5912,5.7682
stat5,0.0,1.0001,-1.1751,4.3153
stat6,0.0,1.0001,-1.2638,5.4884
stat7,-0.0,1.0001,-1.1922,7.1227
stat8,0.0,1.0001,-1.0817,6.536
stat9,0.0,1.0001,-1.1757,6.5773
stat10,-0.0,1.0001,-1.1903,7.5035
stat11,-0.0,1.0001,-1.1809,7.7859
stat12,-0.0,1.0001,-1.1903,8.6896
stat13,0.0,1.0001,-1.1939,9.4956
stat14,0.0,1.0001,-1.2197,7.8844
stat15,0.0,1.0001,-1.128,7.9084
stat16,-0.0,1.0001,-1.0622,8.3535
stat17,0.0,1.0001,-1.0203,8.5805
stat18,-0.0,1.0001,-0.9023,7.8607
stat19,0.0,1.0001,-0.7788,7.7568
