,mean,std,std/mean,min,max
sleep_avg,7.7143,0.7049,0.0914,7.0,9.0
sleep_today,6.8571,2.4334,0.3549,0.0,9.5
game_years,12.7857,5.2912,0.4138,0.0,23.0
game_hours,1.8214,1.3806,0.758,0.0,6.0
music_level,0.5,0.5036,1.0072,0.0,1.0
music_years,2.1429,2.9453,1.3745,0.0,10.0
languages,2.4286,1.1238,0.4627,1.0,6.0
sport_years,4.5714,4.8561,1.0623,0.0,18.0
sport_hours,3.5714,2.7111,0.7591,0.0,10.0
sport_strength,39.9443,21.5712,0.54,0.0,80.0
sport_cardio,37.7365,21.1382,0.5602,0.0,70.0
sport_intellect,15.1763,15.9487,1.0509,0.0,60.0
conscienc,2.2857,1.0376,0.4539,0.0,4.0
calculations,2.9286,0.8899,0.3039,1.0,4.0
navigation,2.8571,0.9213,0.3225,1.0,4.0
min_parts,6.0,1.274,0.2123,4.0,7.0
max_parts,7.2,0.7537,0.1047,6.0,8.0
avg_parts,6.6,0.9765,0.148,5.0,7.5
min_dim,1.7367,0.1905,0.1097,1.5121,1.9709
max_dim,2.0999,0.2128,0.1013,1.8442,2.4617
avg_dim,1.9183,0.181,0.0944,1.6781,2.2163
simil,49.5571,21.2723,0.4292,5.0,89.0
