"id","sleep_avg","sleep_today","game_years","game_hours","music_level","music_years","languages","sport_years","sport_hours","sport_strength","sport_cardio","sport_intellect","conscienc","calculations","navigation","simil","rmsd","rmsd_norm","time_norm","time","min_parts","max_parts","avg_parts","min_dim","max_dim","avg_dim"
"id15923996687907247-1328288358",8,6.5,0,0,"none",0,2,5,5,42.85714,42.85714,14.28572,"rather_yes","rather_yes","rather_not",81,3.40935565737733,243.288982339038,153.521126760564,1.81666666666667,7,7,7,1.51208743085302,1.84417573751892,1.67813158418597
"id15923996687907247-1328288358",8,6.5,0,0,"none",0,2,5,5,42.85714,42.85714,14.28572,"rather_yes","rather_yes","rather_not",43,2.49745657406772,488.467526884142,668.478260869567,10.25,4,6,5,1.97092051152864,2.46169181385923,2.21630616269394
"id15923996687907247-1328288358",8,6.5,0,0,"none",0,2,5,5,42.85714,42.85714,14.28572,"rather_yes","rather_yes","rather_not",7,3.6073576470674,553.255616725657,192.187499999999,2.05,5,7,6,1.84417573751892,1.94057721063525,1.89237647407708
"id15923996687907247-1328288358",8,6.5,0,0,"none",0,2,5,5,42.85714,42.85714,14.28572,"rather_yes","rather_yes","rather_not",50,3.76478035143253,806.069957573312,99.9999999999997,1.16666666666667,7,8,7.5,1.51208743085302,2.12648603051358,1.8192867306833
"id15923996687907247-1328288358",8,6.5,0,0,"none",0,2,5,5,42.85714,42.85714,14.28572,"rather_yes","rather_yes","rather_not",60,2.59764477697547,281.556534185516,107.692307692308,0.933333333333333,7,8,7.5,1.84417573751892,2.12648603051358,1.98533088401625
"id15924012852675894-1481202890",8,8,23,1,"amateur",10,2,0,0,30,30,40,"definetely_yes","rather_yes","definetely_yes",26,1.41962780770731,101.303542178113,233.802816901409,2.76666666666667,7,7,7,1.51208743085302,1.84417573751892,1.67813158418597
"id15924012852675894-1481202890",8,8,23,1,"amateur",10,2,0,0,30,30,40,"definetely_yes","rather_yes","definetely_yes",5,1.27416900328532,249.209611221988,135.869565217392,2.08333333333333,4,6,5,1.97092051152864,2.46169181385923,2.21630616269394
"id15924012852675894-1481202890",8,8,23,1,"amateur",10,2,0,0,30,30,40,"definetely_yes","rather_yes","definetely_yes",37,1.56869489106623,240.588636981085,99.9999999999997,1.06666666666667,5,7,6,1.84417573751892,1.94057721063525,1.89237647407708
"id15924012852675894-1481202890",8,8,23,1,"amateur",10,2,0,0,30,30,40,"definetely_yes","rather_yes","definetely_yes",76,0.888940726644872,190.329407541443,151.428571428571,1.76666666666667,7,8,7.5,1.51208743085302,2.12648603051358,1.8192867306833
"id15924012852675894-1481202890",8,8,23,1,"amateur",10,2,0,0,30,30,40,"definetely_yes","rather_yes","definetely_yes",89,0.94749976042879,102.698702706593,167.307692307692,1.45,7,8,7.5,1.84417573751892,2.12648603051358,1.98533088401625
"id15924012933524737-1657493220",7,5.5,7,2,"none",0,2,0,0,0,0,0,"undecided","rather_yes","rather_yes",75,1.41572180728132,101.024813009274,316.901408450705,3.75,7,7,7,1.51208743085302,1.84417573751892,1.67813158418597
"id15924012933524737-1657493220",7,5.5,7,2,"none",0,2,0,0,0,0,0,"undecided","rather_yes","rather_yes",60,0.511284054028853,100,150,2.3,4,6,5,1.97092051152864,2.46169181385923,2.21630616269394
"id15924012933524737-1657493220",7,5.5,7,2,"none",0,2,0,0,0,0,0,"undecided","rather_yes","rather_yes",30,1.18674115359198,182.008903208699,209.374999999999,2.23333333333333,5,7,6,1.84417573751892,1.94057721063525,1.89237647407708
"id15924012933524737-1657493220",7,5.5,7,2,"none",0,2,0,0,0,0,0,"undecided","rather_yes","rather_yes",60,0.885149531337523,189.51768192792,174.285714285714,2.03333333333333,7,8,7.5,1.51208743085302,2.12648603051358,1.8192867306833
"id15924012933524737-1657493220",7,5.5,7,2,"none",0,2,0,0,0,0,0,"undecided","rather_yes","rather_yes",85,0.922601489072137,100,182.692307692308,1.58333333333333,7,8,7.5,1.84417573751892,2.12648603051358,1.98533088401625
"id159240132467442681901181915",9,9,15,0.5,"amateur",3,2,8,6,80,20,0,"undecided","rather_yes","undecided",40,3.03650217347002,216.682446155261,100,1.18333333333333,7,7,7,1.51208743085302,1.84417573751892,1.67813158418597
"id159240132467442681901181915",9,9,15,0.5,"amateur",3,2,8,6,80,20,0,"undecided","rather_yes","undecided",35,0.965532191769233,188.844573610494,642.391304347827,9.85,4,6,5,1.97092051152864,2.46169181385923,2.21630616269394
"id159240132467442681901181915",9,9,15,0.5,"amateur",3,2,8,6,80,20,0,"undecided","rather_yes","undecided",25,1.52594191295302,234.031669919026,299.999999999999,3.2,5,7,6,1.84417573751892,1.94057721063525,1.89237647407708
"id159240132467442681901181915",9,9,15,0.5,"amateur",3,2,8,6,80,20,0,"undecided","rather_yes","undecided",40,0.896424002887098,191.931637578791,165.714285714285,1.93333333333333,7,8,7.5,1.51208743085302,2.12648603051358,1.8192867306833
"id159240132467442681901181915",9,9,15,0.5,"amateur",3,2,8,6,80,20,0,"undecided","rather_yes","undecided",45,0.942096766759734,102.11307676375,230.769230769231,2,7,8,7.5,1.84417573751892,2.12648603051358,1.98533088401625
"id15924013252615670740297251",7,4,8,1.5,"none",0,3,1,4,70,20,10,"undecided","definetely_yes","definetely_yes",75,1.42678584464963,101.814334157081,356.338028169015,4.21666666666667,7,7,7,1.51208743085302,1.84417573751892,1.67813158418597
"id15924013252615670740297251",7,4,8,1.5,"none",0,3,1,4,70,20,10,"undecided","definetely_yes","definetely_yes",33,0.643234200535235,125.807600582618,334.782608695653,5.13333333333333,4,6,5,1.97092051152864,2.46169181385923,2.21630616269394
"id15924013252615670740297251",7,4,8,1.5,"none",0,3,1,4,70,20,10,"undecided","definetely_yes","definetely_yes",65,1.0016880722291,153.627559667773,112.5,1.2,5,7,6,1.84417573751892,1.94057721063525,1.89237647407708
"id15924013252615670740297251",7,4,8,1.5,"none",0,3,1,4,70,20,10,"undecided","definetely_yes","definetely_yes",40,0.975057466649154,208.767698884308,154.285714285714,1.8,7,8,7.5,1.51208743085302,2.12648603051358,1.8192867306833
"id15924013252615670740297251",7,4,8,1.5,"none",0,3,1,4,70,20,10,"undecided","definetely_yes","definetely_yes",85,0.946357148631095,102.574855974149,132.692307692308,1.15,7,8,7.5,1.84417573751892,2.12648603051358,1.98533088401625
"id15924013268508102-1328288358",8,8.5,12,2,"amateur",3,3,3,4,60,30,10,"rather_yes","rather_not","rather_yes",25,2.38870346266895,170.456031269414,218.30985915493,2.58333333333333,7,7,7,1.51208743085302,1.84417573751892,1.67813158418597
"id15924013268508102-1328288358",8,8.5,12,2,"amateur",3,3,3,4,60,30,10,"rather_yes","rather_not","rather_yes",65,1.84646343637609,361.142386864248,325.000000000001,4.98333333333333,4,6,5,1.97092051152864,2.46169181385923,2.21630616269394
"id15924013268508102-1328288358",8,8.5,12,2,"amateur",3,3,3,4,60,30,10,"rather_yes","rather_not","rather_yes",30,1.21806914750087,186.813635726676,182.812499999999,1.95,5,7,6,1.84417573751892,1.94057721063525,1.89237647407708
"id15924013268508102-1328288358",8,8.5,12,2,"amateur",3,3,3,4,60,30,10,"rather_yes","rather_not","rather_yes",55,1.0824836897761,231.768523111742,148.571428571428,1.73333333333333,7,8,7.5,1.51208743085302,2.12648603051358,1.8192867306833
"id15924013268508102-1328288358",8,8.5,12,2,"amateur",3,3,3,4,60,30,10,"rather_yes","rather_not","rather_yes",85,1.12116062050642,121.521657377117,100,0.866666666666667,7,8,7.5,1.84417573751892,2.12648603051358,1.98533088401625
"id15924013981612619153430341",8,6.5,16,1.5,"none",0,6,0,3,20,70,10,"undecided","rather_yes","rather_yes",70,1.4013604827473,100,180.281690140846,2.13333333333333,7,7,7,1.51208743085302,1.84417573751892,1.67813158418597
"id15924013981612619153430341",8,6.5,16,1.5,"none",0,6,0,3,20,70,10,"undecided","rather_yes","rather_yes",40,0.718981895648721,140.622788835919,197.826086956522,3.03333333333333,4,6,5,1.97092051152864,2.46169181385923,2.21630616269394
"id15924013981612619153430341",8,6.5,16,1.5,"none",0,6,0,3,20,70,10,"undecided","rather_yes","rather_yes",25,1.03816170552018,159.221472014415,143.75,1.53333333333333,5,7,6,1.84417573751892,1.94057721063525,1.89237647407708
"id15924013981612619153430341",8,6.5,16,1.5,"none",0,6,0,3,20,70,10,"undecided","rather_yes","rather_yes",60,0.934628560568403,200.111542729847,161.428571428571,1.88333333333333,7,8,7.5,1.51208743085302,2.12648603051358,1.8192867306833
"id15924013981612619153430341",8,6.5,16,1.5,"none",0,6,0,3,20,70,10,"undecided","rather_yes","rather_yes",80,0.94902604966116,102.864135913719,138.461538461538,1.2,7,8,7.5,1.84417573751892,2.12648603051358,1.98533088401625
"id15924014002520238740297251",7,8.5,18,2.5,"none",0,2,1,6,20,70,10,"rather_yes","rather_not","undecided",30,1.42493666059317,101.682377813284,588.732394366199,6.96666666666667,7,7,7,1.51208743085302,1.84417573751892,1.67813158418597
"id15924014002520238740297251",7,8.5,18,2.5,"none",0,2,1,6,20,70,10,"rather_yes","rather_not","undecided",60,0.648775483896316,126.891397997659,450.000000000001,6.9,4,6,5,1.97092051152864,2.46169181385923,2.21630616269394
"id15924014002520238740297251",7,8.5,18,2.5,"none",0,2,1,6,20,70,10,"rather_yes","rather_not","undecided",40,2.06876943539551,317.284400889223,434.374999999999,4.63333333333333,5,7,6,1.84417573751892,1.94057721063525,1.89237647407708
"id15924014002520238740297251",7,8.5,18,2.5,"none",0,2,1,6,20,70,10,"rather_yes","rather_not","undecided",45,0.886676130387678,189.844539145798,385.714285714285,4.5,7,8,7.5,1.51208743085302,2.12648603051358,1.8192867306833
"id15924014002520238740297251",7,8.5,18,2.5,"none",0,2,1,6,20,70,10,"rather_yes","rather_not","undecided",70,0.947795567711027,102.730765009303,196.153846153846,1.7,7,8,7.5,1.84417573751892,2.12648603051358,1.98533088401625
"id15924017884666927153430341",9,9.5,14,3,"none",0,2,10,1,50,40,10,"undecided","rather_yes","rather_yes",63,1.41252864509032,100.796951425455,545.070422535213,6.45,7,7,7,1.51208743085302,1.84417573751892,1.67813158418597
"id15924017884666927153430341",9,9.5,14,3,"none",0,2,10,1,50,40,10,"undecided","rather_yes","rather_yes",34,0.717380933475406,140.309663057656,353.260869565218,5.41666666666667,4,6,5,1.97092051152864,2.46169181385923,2.21630616269394
"id15924017884666927153430341",9,9.5,14,3,"none",0,2,10,1,50,40,10,"undecided","rather_yes","rather_yes",65,1.46082284358787,224.044445361045,249.999999999999,2.66666666666667,5,7,6,1.84417573751892,1.94057721063525,1.89237647407708
"id15924017884666927153430341",9,9.5,14,3,"none",0,2,10,1,50,40,10,"undecided","rather_yes","rather_yes",67,0.883742335985397,189.216390008631,271.428571428571,3.16666666666667,7,8,7.5,1.51208743085302,2.12648603051358,1.8192867306833
"id15924017884666927153430341",9,9.5,14,3,"none",0,2,10,1,50,40,10,"undecided","rather_yes","rather_yes",71,0.941983904312693,102.100843697971,290.384615384615,2.51666666666667,7,8,7.5,1.84417573751892,2.12648603051358,1.98533088401625
"id159248607636521271983522281",8,9,10,6,"amateur",1,1,2,10,30,10,60,"rather_not","rather_yes","definetely_yes",30,1.41434640924661,100.926665669482,284.507042253522,3.36666666666667,7,7,7,1.51208743085302,1.84417573751892,1.67813158418597
"id159248607636521271983522281",8,9,10,6,"amateur",1,1,2,10,30,10,60,"rather_not","rather_yes","definetely_yes",85,0.709172987272137,138.704303739564,100,1.53333333333333,4,6,5,1.97092051152864,2.46169181385923,2.21630616269394
"id159248607636521271983522281",8,9,10,6,"amateur",1,1,2,10,30,10,60,"rather_not","rather_yes","definetely_yes",30,1.18029518201106,181.020293170185,153.125,1.63333333333333,5,7,6,1.84417573751892,1.94057721063525,1.89237647407708
"id159248607636521271983522281",8,9,10,6,"amateur",1,1,2,10,30,10,60,"rather_not","rather_yes","definetely_yes",21,0.891860456254538,190.954545292626,234.285714285714,2.73333333333333,7,8,7.5,1.51208743085302,2.12648603051358,1.8192867306833
"id159248607636521271983522281",8,9,10,6,"amateur",1,1,2,10,30,10,60,"rather_not","rather_yes","definetely_yes",75,0.945983098945729,102.534313043122,209.615384615385,1.81666666666667,7,8,7.5,1.84417573751892,2.12648603051358,1.98533088401625
"id159317881357458291472988104",8,8,15,1.5,"amateur",2,3,4,4,36.36364,45.45455,18.18182,"undecided","rather_yes","undecided",70,1.43416913338445,102.341199929716,308.450704225353,3.65,7,7,7,1.51208743085302,1.84417573751892,1.67813158418597
"id159317881357458291472988104",8,8,15,1.5,"amateur",2,3,4,4,36.36364,45.45455,18.18182,"undecided","rather_yes","undecided",45,0.568546502105219,111.199732834448,259.782608695653,3.98333333333333,4,6,5,1.97092051152864,2.46169181385923,2.21630616269394
"id159317881357458291472988104",8,8,15,1.5,"amateur",2,3,4,4,36.36364,45.45455,18.18182,"undecided","rather_yes","undecided",40,0.993608091300539,152.388343801446,417.187499999999,4.45,5,7,6,1.84417573751892,1.94057721063525,1.89237647407708
"id159317881357458291472988104",8,8,15,1.5,"amateur",2,3,4,4,36.36364,45.45455,18.18182,"undecided","rather_yes","undecided",35,0.904291023975198,193.616030494914,427.142857142856,4.98333333333333,7,8,7.5,1.51208743085302,2.12648603051358,1.8192867306833
